time,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,XOM
2003-01-29,,,,,,,,16.40262181
2003-01-30,,,,,,,,16.10218499
2003-01-31,,,,,,,,16.54798243
2003-02-03,,,,,,,,16.78057978
2003-02-04,,,,,,,,16.78057978
2003-02-05,,,,,,,,16.53829593
2003-02-06,,,,,,,,16.39681789
2003-02-07,,,,,,,,16.26998038
2003-02-10,,,,,,,,16.39681789
2003-02-11,,,,,,,,16.27973261
2003-02-12,,,,,,,,15.95286953
2003-02-13,,,,,,,,16.16264733
2003-02-14,,,,,,,,16.31388248
2003-02-18,,,,,,,,16.46511764
2003-02-19,,,,,,,,16.4797533
2003-02-20,,,,,,,,16.406575
2003-02-21,,,,,,,,16.67489055
2003-02-24,,,,,,,,16.58708147
2003-02-25,,,,,,,,16.65538122
2003-02-26,,,,,,,,16.50902462
2003-02-27,,,,,,,,16.57732436
2003-02-28,,,,,,,,16.59683858
2003-03-03,,,,,,,,16.8114998
2003-03-04,,,,,,,,16.6992882
2003-03-05,,,,,,,,17.03590838
2003-03-06,,,,,,,,16.86028046
2003-03-07,,,,,,,,16.97248231
2003-03-10,,,,,,,,16.75783572
2003-03-11,,,,,,,,16.86516389
2003-03-12,,,,,,,,16.61635279
2003-03-13,,,,,,,,16.82613546
2003-03-14,,,,,,,,16.77734505
2003-03-17,,,,,,,,17.09932957
2003-03-18,,,,,,,,17.19690064
2003-03-19,,,,,,,,17.36277146
2003-03-20,,,,,,,,17.36277146
2003-03-21,,,,,,,,17.56279215
2003-03-24,,,,,,,,17.22617196
2003-03-25,,,,,,,,17.40179988
2003-03-26,,,,,,,,17.4944924
2003-03-27,,,,,,,,17.52376372
2003-03-28,,,,,,,,17.57742781
2003-03-31,,,,,,,,17.05054404
2003-04-01,,,,,,,,17.3920379
2003-04-02,,,,,,,,17.41643554
2003-04-03,,,,,,,,17.09932957
2003-04-04,,,,,,,,17.32862158
2003-04-07,,,,,,,,17.09932957
2003-04-08,,,,,,,,16.87003757
2003-04-09,,,,,,,,16.81637348
2003-04-10,,,,,,,,16.91881822
2003-04-11,,,,,,,,16.74807373
2003-04-14,,,,,,,,17.01151561
2003-04-15,,,,,,,,17.09932957
2003-04-16,,,,,,,,16.92370165
2003-04-17,,,,,,,,17.08957247
2003-04-21,,,,,,,,17.01151561
2003-04-22,,,,,,,,17.27983605
2003-04-23,,,,,,,,17.24080762
2003-04-24,,,,,,,,17.138358
2003-04-25,,,,,,,,16.97248231
2003-04-28,,,,,,,,17.2749575
2003-04-29,,,,,,,,16.9920014
2003-04-30,,,,,,,,17.17250788
2003-05-01,,,,,,,,17.30910737
2003-05-02,,,,,,,,17.58230148
2003-05-05,,,,,,,,17.29447171
2003-05-06,,,,,,,,17.17250788
